"FACULTAD DE CIENCIAS FÍSICO MATEMATICAS Y NATURALES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INGENIERIA EN ALIMENTOS","GRADO"," OCD N.º 22/22","OCS N.º 28/23","RESOLUCIÓN MINISTERIAL N.°  2812/15","RES. CONEAU N.° 897/13","OCD N.° 25/2023 Plan de Estudios Definitivo OCS N.° 53/2023 ESPERAR RM ","","","","","","","","","","","","","","","","","","","",""
"INGENIERÍA ELECTROMECÁNICA","GRADO"," OCD N.º 25/22","OCS N. 25/23","RESOLUCION MINISTERIAL N.° 1789/98","RES. CONEAU N.° 948/10","OCD N.° 22/2023 Plan de Estudios Definitivo OCS N.° 51/2023 ESPERAR RM ","","","","","","","","","","","","","","","","","","","",""
"INGENIERÍA ELECTRÓNICA","GRADO ","OCD N.º 23/22","OCS N.º 30/23","RESOLUCIÓN MINISTERIAL N.°  2018/15 y RM 1161/14","RES. CONEAU N.° 898/13","OCD N.° 18/2023 Plan de Estudios Definitivo OCS N.° 52/2023 ESPERAR RM ","","","","","","","","","","","","","","","","","","","",""
"INGENIERÍA INDUSTRIAL","GRADO","OCD N.º 20/22","OCS N.º 29/23","RESOLUCIÓN MINISTERIAL N.° 2679/16","RES. CONEAU N.° 512/14","OCD N.° 31/2023 Plan de Estudios Definitivo OCS N.° 57/2023 ESPERAR RM ","","","","","","","","","","","","","","","","","","","",""
"INGENIERÍA MECATRÓNICA ","GRADO","OCD N.º 19/22","OCS  N.º 26/23","RESOLUCIÓN MINISTERIAL N.°  570/21","","OCD N.° 29/2023 Plan de Estudios Definitivo OCS N.° 55/2023 ESPERAR RM ","","","","","","","","","","","","","","","","","","","",""
"INGENIERÍA QUÍMICA","GRADO","OCD N.º 21/22 ","OCS N.º 27/23","RESOLUCIÓN MINISTERIAL N.° 318/15","RES. CONEAU N.° 949/10","OCD N.° 17/2023 Plan de Estudios Definitivo OCS N.° 50/2023 ESPERAR RM ","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN AUTOMATIZACIÓN INDUSTRIAL ORIENTACIÓN INFORMÁTICA","PREGRADO","OCD N.º 10/08 Y 13/15","OCS N.º 21/09","RESOLUCIÓN MINISTERIAL N.°  1243/10","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN MANTENIMIENTO INDUSTRIAL","PREGRADO","OCD N.°  1/05 Y 23/15","OCS  N.° 6/05 Y 7/16","RESOLUCIÓN MINISTERIAL N.° 958/05","","","","","","","","","","","","","","","","","","","","","",""
"BROMATOLOGÍA","PREGRADO","OCD N.° 8/11 Y 16/12 TO","OCS N.° 14/11 Y 14/13","RESOLUCIÓN MINISTERIAL N.°  1526/15","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
